,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2010-03-17,170428.0,0.0,71444.0,21258.0,8.0,0.0,44056.0,329320.0,0.0,297188.0,0.0,0.0,0.0,0.0,0.0,0.0,380574.0,725396.0,0.0,0.0,0.0,328958.0,0.0,0.0,3359382.0,0.0,1525264.0,0.0,0.0,0.0,3573324.0,272960.0,41986.0,0.0,356060.0,0.0,504868.0
2010-03-18,129940.0,0.0,82622.0,15000.0,0.0,0.0,34178.0,277534.0,0.0,321842.0,0.0,0.0,0.0,0.0,0.0,0.0,368428.0,597852.0,0.0,0.0,0.0,310772.0,0.0,0.0,2106178.0,0.0,2106500.0,0.0,0.0,0.0,3157146.0,308406.0,26218.0,0.0,420214.0,0.0,648612.0
2010-03-19,236620.0,0.0,141916.0,14040.0,0.0,0.0,57882.0,366206.0,0.0,253064.0,0.0,0.0,0.0,0.0,0.0,0.0,306698.0,1109730.0,0.0,0.0,0.0,245990.0,0.0,0.0,1684212.0,0.0,1887488.0,0.0,0.0,0.0,2172728.0,298822.0,50046.0,0.0,296434.0,0.0,463232.0
2010-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-22,182260.0,0.0,69266.0,19180.0,0.0,0.0,49636.0,223902.0,0.0,194720.0,0.0,0.0,0.0,0.0,0.0,0.0,317162.0,476974.0,0.0,0.0,0.0,325676.0,0.0,0.0,2049860.0,0.0,1563420.0,0.0,0.0,0.0,1944466.0,345874.0,34094.0,0.0,351562.0,0.0,517416.0
2010-03-23,175328.0,0.0,78862.0,17904.0,0.0,0.0,52320.0,118532.0,0.0,205672.0,0.0,0.0,0.0,0.0,0.0,0.0,302546.0,424894.0,0.0,0.0,0.0,260000.0,0.0,0.0,1517198.0,0.0,1613280.0,0.0,0.0,0.0,1125072.0,91242.0,26778.0,0.0,330820.0,0.0,468240.0
2010-03-24,117892.0,0.0,108526.0,22050.0,0.0,0.0,38298.0,205850.0,0.0,200236.0,0.0,0.0,0.0,0.0,0.0,0.0,310810.0,403564.0,0.0,0.0,0.0,276692.0,0.0,0.0,1723034.0,0.0,1765392.0,0.0,0.0,0.0,3022066.0,194986.0,17912.0,0.0,362744.0,0.0,524254.0
2010-03-25,89276.0,0.0,125412.0,22356.0,6.0,0.0,37068.0,168686.0,0.0,192758.0,0.0,0.0,0.0,0.0,0.0,0.0,152316.0,466754.0,0.0,0.0,0.0,222030.0,0.0,0.0,1511256.0,0.0,2148488.0,0.0,0.0,0.0,2307592.0,149060.0,10960.0,0.0,498444.0,0.0,594146.0
2010-03-26,120740.0,0.0,113808.0,19006.0,0.0,0.0,56784.0,209660.0,0.0,156464.0,0.0,0.0,0.0,0.0,0.0,0.0,226192.0,597026.0,0.0,0.0,0.0,219284.0,0.0,0.0,2572916.0,0.0,1778958.0,0.0,0.0,0.0,2897096.0,338076.0,16484.0,0.0,325564.0,0.0,420092.0
